target,cv_type,fold,method,seed,episode,f1,auc
copiapo,spatial,4,independent,42,0,0.8888888888888888,0.9166666666666667
copiapo,spatial,4,independent,42,1,0.8888888888888888,1.0
copiapo,spatial,4,independent,42,2,1.0,1.0
copiapo,spatial,4,independent,42,3,0.8888888888888888,1.0
copiapo,spatial,4,independent,42,4,0.8,0.9166666666666667
copiapo,spatial,4,independent,42,5,0.8888888888888888,1.0
copiapo,spatial,4,independent,42,6,1.0,1.0
copiapo,spatial,4,independent,42,7,0.8888888888888888,0.9166666666666667
copiapo,spatial,4,independent,42,8,0.8888888888888888,1.0
copiapo,spatial,4,independent,42,9,0.8888888888888888,0.8333333333333334
copiapo,spatial,4,finetune,42,0,0.8888888888888888,0.9166666666666667
copiapo,spatial,4,finetune,42,1,0.8888888888888888,1.0
copiapo,spatial,4,finetune,42,2,0.8888888888888888,0.9166666666666667
copiapo,spatial,4,finetune,42,3,0.8888888888888888,1.0
copiapo,spatial,4,finetune,42,4,0.8888888888888888,0.8333333333333334
copiapo,spatial,4,finetune,42,5,0.8888888888888888,1.0
copiapo,spatial,4,finetune,42,6,0.8888888888888888,1.0
copiapo,spatial,4,finetune,42,7,0.8888888888888888,1.0
copiapo,spatial,4,finetune,42,8,0.8888888888888888,0.9166666666666667
copiapo,spatial,4,finetune,42,9,0.8888888888888888,1.0
copiapo,spatial,4,reptile,42,0,0.8888888888888888,1.0
copiapo,spatial,4,reptile,42,1,0.8888888888888888,0.9166666666666667
copiapo,spatial,4,reptile,42,2,0.8888888888888888,1.0
copiapo,spatial,4,reptile,42,3,0.8888888888888888,1.0
copiapo,spatial,4,reptile,42,4,0.8888888888888888,1.0
copiapo,spatial,4,reptile,42,5,0.8888888888888888,1.0
copiapo,spatial,4,reptile,42,6,0.8888888888888888,1.0
copiapo,spatial,4,reptile,42,7,0.8888888888888888,1.0
copiapo,spatial,4,reptile,42,8,0.8888888888888888,1.0
copiapo,spatial,4,reptile,42,9,0.8888888888888888,1.0
copiapo,spatial,4,fomaml,42,0,1.0,1.0
copiapo,spatial,4,fomaml,42,1,1.0,1.0
copiapo,spatial,4,fomaml,42,2,0.8888888888888888,1.0
copiapo,spatial,4,fomaml,42,3,1.0,1.0
copiapo,spatial,4,fomaml,42,4,0.8888888888888888,1.0
copiapo,spatial,4,fomaml,42,5,1.0,1.0
copiapo,spatial,4,fomaml,42,6,0.8888888888888888,1.0
copiapo,spatial,4,fomaml,42,7,0.8888888888888888,1.0
copiapo,spatial,4,fomaml,42,8,0.8888888888888888,1.0
copiapo,spatial,4,fomaml,42,9,0.8888888888888888,1.0
copiapo,random,0,independent,42,0,0.9090909090909091,0.9333333333333333
copiapo,random,0,independent,42,1,0.9090909090909091,1.0
copiapo,random,0,independent,42,2,0.9090909090909091,0.9333333333333333
copiapo,random,0,independent,42,3,0.9090909090909091,0.9333333333333333
copiapo,random,0,independent,42,4,0.9090909090909091,0.9333333333333333
copiapo,random,0,independent,42,5,0.9090909090909091,1.0
copiapo,random,0,independent,42,6,0.9090909090909091,0.9333333333333333
copiapo,random,0,independent,42,7,0.9090909090909091,0.9333333333333333
copiapo,random,0,independent,42,8,0.9090909090909091,0.9333333333333333
copiapo,random,0,independent,42,9,0.9090909090909091,0.9333333333333333
copiapo,random,0,finetune,42,0,0.9090909090909091,0.8666666666666667
copiapo,random,0,finetune,42,1,0.9090909090909091,0.9333333333333333
copiapo,random,0,finetune,42,2,0.9090909090909091,0.9333333333333333
copiapo,random,0,finetune,42,3,0.9090909090909091,1.0
copiapo,random,0,finetune,42,4,0.9090909090909091,0.9333333333333333
copiapo,random,0,finetune,42,5,0.9090909090909091,1.0
copiapo,random,0,finetune,42,6,0.9090909090909091,0.8
copiapo,random,0,finetune,42,7,0.9090909090909091,0.8666666666666667
copiapo,random,0,finetune,42,8,0.9090909090909091,0.8666666666666667
copiapo,random,0,finetune,42,9,0.9090909090909091,0.9333333333333333
copiapo,random,0,reptile,42,0,0.9090909090909091,0.9333333333333333
copiapo,random,0,reptile,42,1,0.9090909090909091,0.9333333333333333
copiapo,random,0,reptile,42,2,0.9090909090909091,0.8666666666666667
copiapo,random,0,reptile,42,3,0.9090909090909091,0.9333333333333333
copiapo,random,0,reptile,42,4,0.9090909090909091,0.9333333333333333
copiapo,random,0,reptile,42,5,0.9090909090909091,0.9333333333333333
copiapo,random,0,reptile,42,6,0.9090909090909091,0.9333333333333333
copiapo,random,0,reptile,42,7,0.9090909090909091,0.9333333333333333
copiapo,random,0,reptile,42,8,0.9090909090909091,0.9333333333333333
copiapo,random,0,reptile,42,9,0.9090909090909091,0.9333333333333333
copiapo,random,0,fomaml,42,0,0.9090909090909091,1.0
copiapo,random,0,fomaml,42,1,0.9090909090909091,1.0
copiapo,random,0,fomaml,42,2,0.9090909090909091,1.0
copiapo,random,0,fomaml,42,3,0.9090909090909091,1.0
copiapo,random,0,fomaml,42,4,0.9090909090909091,1.0
copiapo,random,0,fomaml,42,5,0.9090909090909091,1.0
copiapo,random,0,fomaml,42,6,0.9090909090909091,1.0
copiapo,random,0,fomaml,42,7,0.9090909090909091,1.0
copiapo,random,0,fomaml,42,8,0.9090909090909091,1.0
copiapo,random,0,fomaml,42,9,0.9090909090909091,1.0
copiapo,random,1,independent,42,0,1.0,1.0
copiapo,random,1,independent,42,1,0.8888888888888888,1.0
copiapo,random,1,independent,42,2,1.0,1.0
copiapo,random,1,independent,42,3,1.0,1.0
copiapo,random,1,independent,42,4,1.0,1.0
copiapo,random,1,independent,42,5,1.0,1.0
copiapo,random,1,independent,42,6,1.0,1.0
copiapo,random,1,independent,42,7,1.0,1.0
copiapo,random,1,independent,42,8,1.0,1.0
copiapo,random,1,independent,42,9,1.0,1.0
copiapo,random,1,finetune,42,0,1.0,1.0
copiapo,random,1,finetune,42,1,1.0,1.0
copiapo,random,1,finetune,42,2,0.8571428571428571,1.0
copiapo,random,1,finetune,42,3,1.0,1.0
copiapo,random,1,finetune,42,4,1.0,1.0
copiapo,random,1,finetune,42,5,0.8571428571428571,1.0
copiapo,random,1,finetune,42,6,1.0,1.0
copiapo,random,1,finetune,42,7,0.8571428571428571,1.0
copiapo,random,1,finetune,42,8,1.0,1.0
copiapo,random,1,finetune,42,9,0.8571428571428571,1.0
copiapo,random,1,reptile,42,0,1.0,1.0
copiapo,random,1,reptile,42,1,1.0,1.0
copiapo,random,1,reptile,42,2,1.0,1.0
copiapo,random,1,reptile,42,3,1.0,1.0
copiapo,random,1,reptile,42,4,1.0,1.0
copiapo,random,1,reptile,42,5,1.0,1.0
copiapo,random,1,reptile,42,6,1.0,1.0
copiapo,random,1,reptile,42,7,1.0,1.0
copiapo,random,1,reptile,42,8,1.0,1.0
copiapo,random,1,reptile,42,9,1.0,1.0
copiapo,random,1,fomaml,42,0,1.0,1.0
copiapo,random,1,fomaml,42,1,1.0,1.0
copiapo,random,1,fomaml,42,2,1.0,1.0
copiapo,random,1,fomaml,42,3,1.0,1.0
copiapo,random,1,fomaml,42,4,1.0,1.0
copiapo,random,1,fomaml,42,5,1.0,1.0
copiapo,random,1,fomaml,42,6,1.0,1.0
copiapo,random,1,fomaml,42,7,1.0,1.0
copiapo,random,1,fomaml,42,8,1.0,1.0
copiapo,random,1,fomaml,42,9,1.0,1.0
