target,K,method,n_runs,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi
huasco,20,cdan,200,0.8330358088952755,0.8248328269292096,0.8416007807536794,0.8780771990658954,0.8672408208073813,0.8888666341635456
huasco,20,meta_baseline,200,0.7706771224161149,0.7672117823831578,0.7739643919975202,0.755902500311256,0.7405557649032751,0.7720815322124752
huasco,20,protonet,200,0.8404860248572819,0.8350106271678984,0.8456361542312563,0.8373652395998425,0.824387908860029,0.8506758296655597
limari,1,cdan,440,0.4325751479216467,0.41063411851644743,0.4547332427046508,0.603555189144069,0.5870664379718256,0.6186960427266637
limari,1,meta_baseline,440,0.4119938975924609,0.3927859963042169,0.4304059785118243,0.5000612955466852,0.48242611850180844,0.51673313692155
limari,1,protonet,440,0.4851980277024769,0.45988739261929207,0.5111029589010307,0.5231461585552495,0.501057841205812,0.5434450006500533
limari,5,cdan,440,0.5515094053010244,0.5302864564107547,0.5724298032696234,0.6970910584275032,0.6823256457538824,0.71421996479463
limari,5,meta_baseline,440,0.5098402824484247,0.4924459993727345,0.5264589887295333,0.52033892418308,0.5026951815523041,0.5376549704977261
limari,5,protonet,440,0.536030652150686,0.5141704022818563,0.5597191989670681,0.5746652740297221,0.5550661548911346,0.5929359036015692
limari,10,cdan,440,0.5962171074661805,0.5771840155294392,0.6144493474901734,0.7442998069751315,0.7306038643625493,0.7575606766685095
limari,10,meta_baseline,440,0.5431697103503123,0.5269136144143698,0.5591252363005171,0.5124030022706971,0.49502140364295394,0.5298456991060886
limari,10,protonet,440,0.5430362766890063,0.5219428511941969,0.5649199627528686,0.5812822028260339,0.5643384498393021,0.5999657179791108
limari,20,cdan,440,0.6072119010267223,0.5877876593289518,0.6247644584915963,0.7593214523871992,0.7474266809346557,0.7713373572615456
limari,20,meta_baseline,440,0.5797964195833251,0.5668876057870064,0.5927680583337638,0.5054117707689136,0.4881617469043402,0.522537542487725
limari,20,protonet,440,0.5662940399678618,0.5483863675090719,0.5839214566653413,0.5677702473092083,0.5506934782366804,0.585589325566659
