target,K,method,seed,episode,step,f1,auc
copiapo,5,finetune,42,1,100,0.8,0.87
copiapo,5,finetune,42,1,200,0.8,0.87
copiapo,5,finetune,42,2,0,0.5714285714285714,0.9299999999999999
copiapo,5,finetune,42,2,1,0.625,0.8999999999999999
copiapo,5,finetune,42,2,2,0.7368421052631579,0.8800000000000001
copiapo,5,finetune,42,2,3,0.7,0.8600000000000001
copiapo,5,finetune,42,2,5,0.7619047619047619,0.85
copiapo,5,finetune,42,2,10,0.8181818181818182,0.85
copiapo,5,finetune,42,2,20,0.8181818181818182,0.86
copiapo,5,finetune,42,2,50,0.8181818181818182,0.9099999999999999
copiapo,5,finetune,42,2,100,0.8181818181818182,0.9099999999999999
copiapo,5,finetune,42,2,200,0.8181818181818182,0.9099999999999999
copiapo,5,finetune,42,3,0,0.7058823529411765,0.9199999999999999
copiapo,5,finetune,42,3,1,0.5333333333333333,0.87
copiapo,5,finetune,42,3,2,0.5333333333333333,0.76
copiapo,5,finetune,42,3,3,0.5,0.51
copiapo,5,finetune,42,3,5,0.5263157894736842,0.46
copiapo,5,finetune,42,3,10,0.5,0.45
copiapo,5,finetune,42,3,20,0.5,0.52
copiapo,5,finetune,42,3,50,0.5,0.5
copiapo,5,finetune,42,3,100,0.5,0.5
copiapo,5,finetune,42,3,200,0.47058823529411764,0.5
copiapo,5,finetune,42,4,0,0.631578947368421,0.78
copiapo,5,finetune,42,4,1,0.6666666666666666,0.84
copiapo,5,finetune,42,4,2,0.6956521739130435,0.86
copiapo,5,finetune,42,4,3,0.75,0.87
copiapo,5,finetune,42,4,5,0.782608695652174,0.89
copiapo,5,finetune,42,4,10,0.8,0.88
copiapo,5,finetune,42,4,20,0.7368421052631579,0.9199999999999999
copiapo,5,finetune,42,4,50,0.7777777777777778,0.9299999999999999
copiapo,5,finetune,42,4,100,0.7777777777777778,0.9
copiapo,5,finetune,42,4,200,0.7777777777777778,0.8799999999999999
copiapo,5,finetune,42,5,0,0.625,0.78
copiapo,5,finetune,42,5,1,0.4,0.75
copiapo,5,finetune,42,5,2,0.42857142857142855,0.75
copiapo,5,finetune,42,5,3,0.42857142857142855,0.8200000000000001
copiapo,5,finetune,42,5,5,0.5333333333333333,0.87
copiapo,5,finetune,42,5,10,0.7777777777777778,0.8700000000000001
copiapo,5,finetune,42,5,20,0.7777777777777778,0.9000000000000001
copiapo,5,finetune,42,5,50,0.7058823529411765,0.9
copiapo,5,finetune,42,5,100,0.7058823529411765,0.9
copiapo,5,finetune,42,5,200,0.7058823529411765,0.9
copiapo,5,finetune,42,6,0,0.6666666666666666,0.83
copiapo,5,finetune,42,6,1,0.782608695652174,0.83
copiapo,5,finetune,42,6,2,0.75,0.83
copiapo,5,finetune,42,6,3,0.8,0.8300000000000001
copiapo,5,finetune,42,6,5,0.8,0.81
copiapo,5,finetune,42,6,10,0.8,0.8200000000000001
copiapo,5,finetune,42,6,20,0.7692307692307693,0.8200000000000001
copiapo,5,finetune,42,6,50,0.7692307692307693,0.8300000000000001
copiapo,5,finetune,42,6,100,0.7692307692307693,0.8350000000000001
copiapo,5,finetune,42,6,200,0.7692307692307693,0.83
copiapo,5,finetune,42,7,0,0.5882352941176471,0.78
copiapo,5,finetune,42,7,1,0.7619047619047619,0.79
copiapo,5,finetune,42,7,2,0.7272727272727273,0.79
copiapo,5,finetune,42,7,3,0.782608695652174,0.78
copiapo,5,finetune,42,7,5,0.8,0.79
copiapo,5,finetune,42,7,10,0.782608695652174,0.8
copiapo,5,finetune,42,7,20,0.8333333333333334,0.805
copiapo,5,finetune,42,7,50,0.782608695652174,0.715
copiapo,5,finetune,42,7,100,0.6666666666666666,0.715
copiapo,5,finetune,42,7,200,0.6666666666666666,0.715
copiapo,5,finetune,42,8,0,0.8235294117647058,0.88
copiapo,5,finetune,42,8,1,0.7368421052631579,0.87
copiapo,5,finetune,42,8,2,0.7,0.83
copiapo,5,finetune,42,8,3,0.7,0.86
copiapo,5,finetune,42,8,5,0.8181818181818182,0.89
copiapo,5,finetune,42,8,10,0.8181818181818182,0.9000000000000001
copiapo,5,finetune,42,8,20,0.8,0.88
copiapo,5,finetune,42,8,50,0.8,0.89
copiapo,5,finetune,42,8,100,0.8,0.9
copiapo,5,finetune,42,8,200,0.8,0.9
copiapo,5,finetune,42,9,0,0.5882352941176471,0.74
copiapo,5,finetune,42,9,1,0.7272727272727273,0.73
copiapo,5,finetune,42,9,2,0.75,0.78
copiapo,5,finetune,42,9,3,0.75,0.78
copiapo,5,finetune,42,9,5,0.7272727272727273,0.8099999999999999
copiapo,5,finetune,42,9,10,0.7,0.86
copiapo,5,finetune,42,9,20,0.7,0.86
copiapo,5,finetune,42,9,50,0.7368421052631579,0.85
copiapo,5,finetune,42,9,100,0.7368421052631579,0.86
copiapo,5,finetune,42,9,200,0.7368421052631579,0.86
copiapo,5,finetune,42,10,0,0.7058823529411765,0.8999999999999999
copiapo,5,finetune,42,10,1,0.8181818181818182,0.9199999999999999
copiapo,5,finetune,42,10,2,0.8695652173913043,0.8999999999999999
copiapo,5,finetune,42,10,3,0.7692307692307693,0.88
copiapo,5,finetune,42,10,5,0.7692307692307693,0.83
copiapo,5,finetune,42,10,10,0.7692307692307693,0.79
copiapo,5,finetune,42,10,20,0.8,0.7749999999999999
copiapo,5,finetune,42,10,50,0.8,0.78
copiapo,5,finetune,42,10,100,0.8,0.77
copiapo,5,finetune,42,10,200,0.8,0.78
copiapo,5,finetune,42,11,0,0.5555555555555556,0.69
copiapo,5,finetune,42,11,1,0.6666666666666666,0.8099999999999999
copiapo,5,finetune,42,11,2,0.7777777777777778,0.84
copiapo,5,finetune,42,11,3,0.7058823529411765,0.8600000000000001
copiapo,5,finetune,42,11,5,0.7777777777777778,0.8400000000000001
copiapo,5,finetune,42,11,10,0.9,0.8400000000000001
copiapo,5,finetune,42,11,20,0.8421052631578947,0.8400000000000001
copiapo,5,finetune,42,11,50,0.7058823529411765,0.82
copiapo,5,finetune,42,11,100,0.7058823529411765,0.82
copiapo,5,finetune,42,11,200,0.7058823529411765,0.82
copiapo,5,finetune,42,12,0,0.5333333333333333,0.79
copiapo,5,finetune,42,12,1,0.47058823529411764,0.75
copiapo,5,finetune,42,12,2,0.6666666666666666,0.75
copiapo,5,finetune,42,12,3,0.5882352941176471,0.77
copiapo,5,finetune,42,12,5,0.5882352941176471,0.8300000000000001
copiapo,5,finetune,42,12,10,0.7058823529411765,0.9000000000000001
copiapo,5,finetune,42,12,20,0.8421052631578947,0.95
copiapo,5,finetune,42,12,50,0.8421052631578947,0.9700000000000001
copiapo,5,finetune,42,12,100,0.8421052631578947,0.9700000000000001
copiapo,5,finetune,42,12,200,0.8421052631578947,0.97
copiapo,5,finetune,42,13,0,0.5333333333333333,0.8300000000000001
copiapo,5,finetune,42,13,1,0.6666666666666666,0.8400000000000001
copiapo,5,finetune,42,13,2,0.7,0.83
copiapo,5,finetune,42,13,3,0.631578947368421,0.8
copiapo,5,finetune,42,13,5,0.7619047619047619,0.8300000000000001
copiapo,5,finetune,42,13,10,0.8181818181818182,0.8300000000000001
copiapo,5,finetune,42,13,20,0.8,0.8400000000000001
copiapo,5,finetune,42,13,50,0.8,0.835
copiapo,5,finetune,42,13,100,0.8,0.835
copiapo,5,finetune,42,13,200,0.8,0.845
copiapo,5,finetune,42,14,0,0.5,0.72
copiapo,5,finetune,42,14,1,0.631578947368421,0.77
copiapo,5,finetune,42,14,2,0.6666666666666666,0.81
copiapo,5,finetune,42,14,3,0.6666666666666666,0.83
copiapo,5,finetune,42,14,5,0.7,0.83
copiapo,5,finetune,42,14,10,0.7777777777777778,0.8300000000000001
copiapo,5,finetune,42,14,20,0.7058823529411765,0.89
copiapo,5,finetune,42,14,50,0.7777777777777778,0.8600000000000001
copiapo,5,finetune,42,14,100,0.7777777777777778,0.8600000000000001
copiapo,5,finetune,42,14,200,0.7777777777777778,0.9299999999999999
copiapo,5,finetune,42,15,0,0.5,0.76
copiapo,5,finetune,42,15,1,0.7,0.79
copiapo,5,finetune,42,15,2,0.8,0.81
copiapo,5,finetune,42,15,3,0.7619047619047619,0.82
