target,K,method,seed,episode,f1,auc
huasco,5,dann,42,11,0.7368421052631579,0.88
huasco,5,dann,42,12,0.7368421052631579,0.9
huasco,5,dann,42,13,0.631578947368421,0.84
huasco,5,dann,42,14,0.7,0.8700000000000001
huasco,5,dann,42,15,0.7777777777777778,0.9400000000000001
huasco,5,dann,42,16,1.0,1.0
huasco,5,dann,42,17,0.8571428571428571,0.915
huasco,5,dann,42,18,0.8333333333333334,0.99
huasco,5,dann,42,19,0.8235294117647058,0.99
huasco,5,dann,42,20,0.8888888888888888,1.0
huasco,5,dann,42,21,0.7777777777777778,0.8099999999999999
huasco,5,dann,42,22,0.7619047619047619,0.855
huasco,5,dann,42,23,0.5714285714285714,0.7100000000000001
huasco,5,dann,42,24,0.9,0.9700000000000001
huasco,5,dann,42,25,0.8181818181818182,0.925
huasco,5,dann,42,26,0.8333333333333334,0.885
huasco,5,dann,42,27,0.8571428571428571,0.9299999999999999
huasco,5,dann,42,28,0.8888888888888888,0.97
huasco,5,dann,42,29,1.0,1.0
huasco,5,dann,42,30,0.8571428571428571,0.9099999999999999
huasco,5,dann,42,31,0.5714285714285714,0.96
huasco,5,dann,42,32,0.8,0.9199999999999999
huasco,5,dann,42,33,0.75,0.74
huasco,5,dann,42,34,0.8333333333333334,0.96
huasco,5,dann,42,35,0.9090909090909091,0.9600000000000001
huasco,5,dann,42,36,0.8,0.94
huasco,5,dann,42,37,0.75,0.99
huasco,5,dann,42,38,0.7777777777777778,0.97
huasco,5,dann,42,39,0.5263157894736842,0.775
huasco,5,dann,42,40,0.9523809523809523,0.9800000000000001
huasco,5,dann,42,41,0.9523809523809523,0.93
huasco,5,dann,42,42,1.0,1.0
huasco,5,dann,42,43,0.6363636363636364,0.8200000000000001
huasco,5,dann,42,44,0.8181818181818182,0.87
huasco,5,dann,42,45,0.9090909090909091,0.99
huasco,5,dann,42,46,0.9,0.9200000000000002
huasco,5,dann,42,47,0.8421052631578947,0.87
huasco,5,dann,42,48,0.9090909090909091,0.93
huasco,5,dann,42,49,0.7777777777777778,0.9
huasco,10,dann,42,0,0.8888888888888888,0.99
huasco,10,dann,42,1,0.9,0.9099999999999999
huasco,10,dann,42,2,0.9090909090909091,0.94
huasco,10,dann,42,3,0.8421052631578947,0.9199999999999999
huasco,10,dann,42,4,0.8571428571428571,0.9400000000000002
huasco,10,dann,42,5,0.9,0.87
huasco,10,dann,42,6,0.8695652173913043,0.91
huasco,10,dann,42,7,0.6666666666666666,0.81
huasco,10,dann,42,8,0.8235294117647058,0.9600000000000001
huasco,10,dann,42,9,0.9,0.935
huasco,10,dann,42,10,0.9090909090909091,0.98
huasco,10,dann,42,11,1.0,0.9999999999999999
huasco,10,dann,42,12,0.782608695652174,0.93
huasco,10,dann,42,13,0.9,0.9700000000000001
huasco,10,dann,42,14,0.8571428571428571,0.9300000000000002
huasco,10,dann,42,15,0.9,0.9800000000000001
huasco,10,dann,42,16,0.8695652173913043,0.8549999999999999
huasco,10,dann,42,17,0.8,0.89
huasco,10,dann,42,18,1.0,1.0
huasco,10,dann,42,19,0.8571428571428571,0.96
huasco,10,dann,42,20,0.8695652173913043,0.915
huasco,10,dann,42,21,0.9090909090909091,0.915
huasco,10,dann,42,22,0.8,0.9
huasco,10,dann,42,23,0.7619047619047619,0.8600000000000001
huasco,10,dann,42,24,0.9,0.98
huasco,10,dann,42,25,0.7777777777777778,0.8400000000000001
huasco,10,dann,42,26,0.9523809523809523,0.9800000000000001
huasco,10,dann,42,27,0.75,0.9800000000000001
huasco,10,dann,42,28,0.9090909090909091,0.98
huasco,10,dann,42,29,0.9090909090909091,0.99
huasco,10,dann,42,30,0.8235294117647058,0.97
huasco,10,dann,42,31,0.7368421052631579,0.87
huasco,10,dann,42,32,0.8888888888888888,1.0
huasco,10,dann,42,33,0.8181818181818182,0.9099999999999999
huasco,10,dann,42,34,0.8,0.94
huasco,10,dann,42,35,0.9090909090909091,1.0
huasco,10,dann,42,36,0.8,0.9299999999999999
huasco,10,dann,42,37,0.9473684210526315,0.9900000000000001
huasco,10,dann,42,38,0.8421052631578947,0.8900000000000001
huasco,10,dann,42,39,0.5333333333333333,0.92
huasco,10,dann,42,40,0.9523809523809523,0.93
huasco,10,dann,42,41,0.8421052631578947,0.8999999999999999
huasco,10,dann,42,42,0.7777777777777778,0.9499999999999998
huasco,10,dann,42,43,0.9090909090909091,0.98
