target,K,model,mode,n_runs,f1_mean,f1_ci_lo,f1_ci_hi,auc_mean,auc_ci_lo,auc_ci_hi
huasco,1,logreg,independent,60,0.6821944811827622,0.6236328867527029,0.7401431262666628,0.7037181775763307,0.6704096787585427,0.7367358129642902
huasco,1,rf,concat_source,60,0.6487966304542488,0.6429453542300146,0.6550397214196406,0.7017368506946897,0.6982703792780881,0.7047762338357174
huasco,1,rf,independent,60,0.7107841959635787,0.6628138222223507,0.7515189702138115,0.6928291181976538,0.6564767322098954,0.7237989403484835
huasco,1,xgb,concat_source,60,0.544938523731432,0.5088417176045092,0.5789597603301293,0.7191278129412966,0.7067215142549651,0.7315623985613802
huasco,1,xgb,independent,60,0.0,0.0,0.0,0.5,0.5,0.5
huasco,5,catboost,concat_source,60,0.6549424532924994,0.640047769520155,0.6681022119317829,0.7341996738261162,0.7276484209645236,0.7400569861415355
huasco,5,catboost,independent,60,0.6859304089818588,0.6263732012476577,0.7379146299832986,0.7848819372238653,0.7625827271902609,0.8063601082568095
huasco,5,logreg,concat_source,60,0.7743148432803604,0.7652973517628691,0.7824481669309258,0.6999437047206604,0.6913820447614211,0.7094261608167358
huasco,5,logreg,independent,60,0.8145697432877387,0.7946421449550269,0.8336650001880334,0.8200430094139526,0.7954957205100336,0.8454924444702424
huasco,5,rf,concat_source,60,0.672359695209349,0.6660910805169102,0.6783053701476854,0.7128491843970438,0.7076537031335352,0.7185266597096738
huasco,5,rf,independent,60,0.7244368821806257,0.6888392505627295,0.7521897200740327,0.7733385111194112,0.750804521575651,0.795642586175858
huasco,5,xgb,concat_source,60,0.5766003150053458,0.5431500508684564,0.609496515605262,0.7126139785923152,0.6989818798518084,0.7254816255892834
huasco,5,xgb,independent,60,0.7160879276438001,0.676279096269807,0.7476454353310392,0.713464310430498,0.6852687379633648,0.7379824578135918
huasco,10,catboost,concat_source,60,0.6884468973651244,0.676115292731119,0.6995157615399341,0.7430145566872938,0.7381595337861407,0.7477988884374274
huasco,10,catboost,independent,60,0.6629807330610352,0.5967535787564414,0.7239200291652742,0.8003710480298896,0.7765739299662723,0.823285266885219
huasco,10,logreg,concat_source,60,0.7742172086999672,0.7652497549049274,0.7822053009121978,0.7021166082851308,0.6929810152750998,0.711482860799014
huasco,10,logreg,independent,60,0.8574502504087218,0.8437745269200163,0.871484303811927,0.8568197653746455,0.833619732412352,0.8801888644090228
huasco,10,rf,concat_source,60,0.6927482950764163,0.6860003355648389,0.6997941894799207,0.7330762919368425,0.7242921745607926,0.7422358065148411
huasco,10,rf,independent,60,0.7480273783449588,0.7161791214320827,0.7743758794152398,0.8208071667962166,0.795909645144294,0.8446600356864851
huasco,10,xgb,concat_source,60,0.6171554836594341,0.5847535793399501,0.6509452329715668,0.7181138838134528,0.7058186175829932,0.7294166030835096
huasco,10,xgb,independent,60,0.7062451253018199,0.6452882897847345,0.7607680304455462,0.7893868943266159,0.7687981806804784,0.8080334204149183
huasco,20,catboost,concat_source,60,0.7118869808010929,0.6991612679621764,0.7237347602288183,0.7517828857415576,0.74514081895667,0.7585074756126696
huasco,20,catboost,independent,60,0.6620728064142187,0.590715152770922,0.7227980269746599,0.8243639272771323,0.8027785867630383,0.8457172645586502
huasco,20,logreg,concat_source,60,0.7747539595916877,0.7656891105166967,0.7829368603113533,0.7068841028367482,0.6970660078694497,0.7171869971532691
huasco,20,logreg,independent,60,0.8773389152331401,0.8649934100015985,0.8893582786667078,0.8833486129197611,0.863730925613735,0.9021939606656504
huasco,20,rf,concat_source,60,0.7322976133820933,0.7251111641012461,0.7402214032343339,0.7547079577230191,0.7430456999559194,0.7666326515003661
huasco,20,rf,independent,60,0.7186684896000318,0.6749214586146831,0.760941186607223,0.826130251954744,0.8027792989014066,0.8506406967325969
huasco,20,xgb,concat_source,60,0.644132829859203,0.6129166324583031,0.674211741134211,0.7270012612879382,0.7166485268196137,0.7369854730362551
huasco,20,xgb,independent,60,0.6363161907875917,0.5671131057973778,0.7021962444153073,0.7992946966459499,0.7766703829164182,0.821058120473468
limari,1,catboost,concat_source,120,0.4564124041045014,0.4386994377332699,0.4749617878498039,0.6297365520282187,0.6030148966636317,0.6575630418055269
limari,1,catboost,independent,120,0.521878066998876,0.47902644013415835,0.5671396257398971,0.5304272486772488,0.496347877996948,0.563577646665779
limari,1,logreg,concat_source,120,0.5157264235115113,0.49300179035349,0.5408399808240817,0.5090397598433313,0.47511343150896723,0.5439330495645228
limari,1,logreg,independent,120,0.5097312632123681,0.4666623654763168,0.5524529868918258,0.5168151183032136,0.4814224103993449,0.5524079247334456
limari,1,rf,concat_source,120,0.427995819590857,0.4060021058702551,0.4522251860274735,0.6656495668132574,0.6321021470014774,0.7038853439439748
limari,1,rf,independent,120,0.5305571452304878,0.4841842955912473,0.5735150883878387,0.5180299673320506,0.48017678263645525,0.5566918869641713
limari,1,xgb,concat_source,120,0.31887525232172664,0.2838998018697296,0.35358601419750985,0.5964125022904785,0.5668643184609702,0.6261385774196043
limari,1,xgb,independent,120,0.0,0.0,0.0,0.5,0.5,0.5
limari,5,catboost,concat_source,120,0.45445286280705843,0.4349989271977868,0.4763194814425064,0.6425851313589409,0.6161331605811518,0.6705130141766301
limari,5,catboost,independent,120,0.558330875585935,0.5139210572583157,0.5980606826704067,0.6339722902208021,0.596626890933141,0.6707194903255915
limari,5,logreg,concat_source,120,0.5157264235115113,0.49300179035349,0.5408399808240817,0.5090397598433313,0.47511343150896723,0.5439330495645228
limari,5,logreg,independent,120,0.5556718628693889,0.5136943866256055,0.5931901819040505,0.5870111875558305,0.5523294810348383,0.6220216696084999
limari,5,rf,concat_source,120,0.4467402983514171,0.42407842367264725,0.46965596866134707,0.6409626294120341,0.6106513364584047,0.6715518476645709
limari,5,rf,independent,120,0.5139218859917425,0.4728607074089468,0.5514764880619902,0.6449279329576949,0.6116873298067123,0.6758567296941925
limari,5,xgb,concat_source,120,0.40424981898550205,0.3684641317484407,0.437936675593703,0.6227013817311435,0.5942601405924323,0.6503485921430863
limari,5,xgb,independent,120,0.4609341584275937,0.42246729131371774,0.49925448319310106,0.5283567821067822,0.4980102978480956,0.5579050221603793
limari,10,catboost,concat_source,120,0.4754397371397212,0.4537554076433453,0.49999131403023395,0.6509874510410223,0.6258285464838291,0.6777020353406514
limari,10,catboost,independent,120,0.5870683899142876,0.544325243554711,0.6264973538375791,0.6722609456240409,0.6426959380153576,0.7026762590116012
limari,10,logreg,concat_source,120,0.5156789401306946,0.4925421082531829,0.5404189580826094,0.5092480931766645,0.47532176484230054,0.5443497162311894
limari,10,logreg,independent,120,0.5717150666919891,0.5296627512871446,0.6134776302911001,0.6737229709223757,0.6433125277004742,0.705319407761
limari,10,rf,concat_source,120,0.45071877711894304,0.4302505614418609,0.47129468868035496,0.6375264206692778,0.6087420899041435,0.6676996850592088
limari,10,rf,independent,120,0.6000205081089194,0.5624083374859149,0.6375060542426391,0.6856292474060333,0.6560476385166861,0.717845464870502
limari,10,xgb,concat_source,120,0.49076299495979586,0.4620752804729754,0.5177385070404015,0.6558557785908976,0.6287195756817037,0.6792703885868321
limari,10,xgb,independent,120,0.5615394607112629,0.5202232756310075,0.6009119992788977,0.6720369740488787,0.6356938156544183,0.7062189092598319
limari,20,catboost,concat_source,120,0.5046410690483275,0.4817243826975785,0.527759469292532,0.6714920634920635,0.6469187523620559,0.6980110172014935
limari,20,catboost,independent,120,0.5951656792902189,0.5529751918320901,0.6324916165037039,0.6890328153988868,0.6655348094035594,0.712226827121842
limari,20,logreg,concat_source,120,0.5168897663415208,0.4938496278331806,0.5422700803805519,0.5092480931766645,0.47522170203308606,0.544344507897856
limari,20,logreg,independent,120,0.6105357956376911,0.5762413287032357,0.6436864438613905,0.7316616147300671,0.7026885196923887,0.7598388818027211
limari,20,rf,concat_source,120,0.4972494120538434,0.47515003462716315,0.520887649003308,0.6735159646350122,0.6455814410402209,0.7032381538600289
limari,20,rf,independent,120,0.6162836632538238,0.5804327198540894,0.6485843064294785,0.7133215889049223,0.6904126443538275,0.7391421694087988
limari,20,xgb,concat_source,120,0.5478279295474953,0.528052050526763,0.5661687726702821,0.6950014830848164,0.6752369681795277,0.7177721738716529
limari,20,xgb,independent,120,0.5972308079613522,0.5588425870842028,0.6306447579404568,0.7328091179653679,0.7033663131814173,0.7625112471798484
